method,distance,seed,proposal_scale,tolerance,n_samples,beta_mean,beta_median,beta_std,beta_q025,beta_q975,beta_width_norm,gamma_mean,gamma_median,gamma_std,gamma_q025,gamma_q975,gamma_width_norm,rho_mean,rho_median,rho_std,rho_q025,rho_q975,rho_width_norm,beta_mean_shift,gamma_mean_shift,rho_mean_shift,beta_std_ratio_vs_baseline,gamma_std_ratio_vs_baseline,rho_std_ratio_vs_baseline,beta_w1_vs_baseline,gamma_w1_vs_baseline,rho_w1_vs_baseline,epsilon,acc_rate
mcmc,reweighted,1.0,0.1,,4000,0.17335646876582175,0.17241701968411202,0.038723270315451065,0.10524473149525682,0.25526220731088933,0.29809187387371083,0.09567964490711264,0.09547284720763952,0.02328140135938906,0.05821119074059209,0.1455729470843588,0.44805077806516636,0.3008216322140963,0.2995344792193192,0.061510045706100316,0.19447640046332118,0.4191606115529257,0.266346310847124,0.001937637889514593,0.007339551501281988,0.014358839976047533,1.2772583217432494,1.3079526092624272,1.1424257446481,0.007497593268758251,0.007712275933629344,0.01668614455618055,1.0697013887421292,0.0974
mcmc,euclidean,1.0,0.2,,4000,0.1693891594468964,0.16789891902435888,0.02483629336859456,0.12184199872371125,0.21715612152465816,0.19118987549374114,0.09312854673703737,0.09088445214880952,0.021553023596937615,0.055284646952131616,0.13139845450580342,0.4147881325180762,0.31823604983410053,0.3197746945850364,0.04573534715684937,0.23240707825220047,0.4171231770916667,0.19803986244365976,0.0059049472084399535,0.004788453331206713,0.0030555776439566973,0.8192066973650329,1.2108520881514915,0.8494423542140391,0.006807932523808736,0.005533560562820512,0.009569592841380675,0.9562361445956326,0.022
mcmc,mahalanobis,1.0,0.2,,4000,0.17775202409096638,0.17403694357560928,0.03802275871973557,0.10973363913965413,0.24046768150480077,0.29269933309562024,0.10491116136978304,0.10940743258868221,0.028535787904537844,0.06009761169378824,0.1451426607965762,0.5491714942740996,0.31464650773048436,0.3034017969758646,0.04876839421754085,0.23541714165145242,0.4139379351618103,0.21117334147082248,0.002457917435630036,0.016571067963952385,0.000533964459659475,1.2541524668447221,1.6031448309724474,0.9057751207904027,0.008793623556571773,0.01658273024811477,0.00831220306423456,1.0016743221020017,0.0198
mcmc,reweighted,1.0,0.2,,4000,0.18121816393426549,0.18152214218570034,0.038621288582885056,0.11158844370356714,0.2694892259497597,0.2973068181303854,0.09654048328248734,0.09700032831151312,0.024072057253016192,0.05435656326848992,0.14940703369475453,0.463266957832566,0.2983769396255449,0.2980693833385354,0.055074661181069996,0.2066475967352065,0.3979568448842032,0.23848027843813643,0.00592405727892914,0.00820038987665668,0.016803532564598933,1.2738945300096325,1.352371775580406,1.022901382835189,0.007790946293008032,0.008612617518151731,0.017505600344285433,1.0697013887421292,0.0274
mcmc,euclidean,2.0,0.05,,4000,0.17290859270565806,0.17137631158678132,0.027077496877225275,0.12519278377675727,0.22049616381642942,0.2084426681472968,0.0957655996741543,0.09612826181811863,0.02228211659280135,0.058107031837998334,0.13605309599909166,0.42881953376561616,0.3139260073304093,0.31477597973381116,0.05179582909031125,0.2203471299494896,0.41072016280726253,0.22428251901143287,0.0023855139496782862,0.0074255062683236395,0.0012544648597345165,0.8931311311434614,1.251812641668617,0.962003652231005,0.004024325051383869,0.007558547090205357,0.0025176464946672305,0.9562361445956326,0.137
mcmc,mahalanobis,2.0,0.05,,4000,0.18079568898395615,0.18458548633708693,0.026142318367175274,0.12661667202941843,0.22113571172018276,0.20124366062039387,0.11763508815096191,0.11942711745200706,0.025661903158689093,0.06644440179341293,0.16551490296184065,0.4938635565529084,0.31116985920313733,0.3143959397874895,0.05830554665828454,0.2085330329645282,0.41566867098515203,0.25247042293806643,0.005501582328619803,0.029294994745131253,0.004010612987006501,0.8622849623011514,1.441689556265092,1.082908601246563,0.0069165525219827845,0.029297975422428842,0.005459329374583484,1.0016743221020017,0.1262
mcmc,reweighted,2.0,0.05,,4000,0.17025112619402535,0.16785747066686538,0.035108000789099085,0.11316647816453956,0.23801821774134765,0.270261516083946,0.09146166470188938,0.08889362858081987,0.021458655579665503,0.05842518252101794,0.14002738356727323,0.41297201917891135,0.30490364137406245,0.2995165738689684,0.06175462951880685,0.20373896861882457,0.41144941127808415,0.26740538982291556,0.005042980461310992,0.0031215712960587227,0.010276830816081384,1.1580113405285624,1.2055504788318188,1.1469683984724073,0.007378507059354259,0.003484392159549348,0.010942300605284727,1.0697013887421292,0.1702
mcmc,euclidean,2.0,0.1,,4000,0.1730279653181551,0.17355660474098494,0.029152538677810428,0.11863801889446603,0.22367418988873408,0.224416347375931,0.09032297177978212,0.08758659564510127,0.02044158429738249,0.056052162602577255,0.1318585618171121,0.3933984732252068,0.31403583712645944,0.3202057437173699,0.053334499689634905,0.20916023311980217,0.4173109145203349,0.2309451581467854,0.0022661413371812544,0.0019828783739514605,0.001144635063684396,0.9615748443467069,1.148411262126916,0.9905813729109643,0.0033046022902940638,0.0025630632364117304,0.005382770604573919,0.9562361445956326,0.0736
mcmc,mahalanobis,2.0,0.1,,4000,0.17266379467766999,0.17500348013485567,0.03164362139664809,0.11162313797546984,0.23302958385088735,0.24359271108652503,0.10575537686613073,0.10484890974172792,0.024682156671345795,0.06326840028380923,0.15210796723260966,0.4750083266127337,0.3128699937924963,0.31303838339467754,0.05903323994240758,0.20721007508345893,0.4176472725256076,0.25562142728913584,0.002630311977666361,0.01741528346030008,0.0023104783976475307,1.0437413583540904,1.3866472521204762,1.0964240446582272,0.0033466502051364266,0.017423345677401447,0.00589333755782245,1.0016743221020017,0.0762
mcmc,reweighted,2.0,0.1,,4000,0.18597368574414463,0.18318146664552387,0.04159056701859552,0.11628287131597341,0.29674731501157736,0.3201643341858039,0.09410448468530294,0.0911327285417754,0.021211740826499438,0.06118747096685331,0.13883773380118955,0.40822014253866745,0.31643763668580177,0.31622673777851873,0.05749572117869068,0.20584234665245144,0.4120320284657822,0.24896377574826548,0.010679579088808289,0.005764391279472286,0.0012571644956579364,1.3718339747075847,1.1916787710817738,1.067867717014733,0.011403163304423945,0.005763250774355575,0.004754632054929797,1.0697013887421292,0.1042
mcmc,euclidean,2.0,0.2,,4000,0.17530271988238666,0.17160090998556185,0.03299776663591284,0.11803942288726316,0.22919889899523888,0.25401692599867637,0.09335751928067207,0.08912845069381152,0.01954424591189068,0.06025256851742035,0.1335443772883279,0.3761291879446108,0.3111920747224202,0.31724327295583643,0.05408901268507151,0.19486171769025884,0.39230022002239484,0.2342122952544534,8.613227050313643e-06,0.0050174258748414136,0.0039883974677236145,1.0884068337028958,1.0979986574654694,1.0045949386751147,0.005281880201301902,0.005035045530664294,0.008969673981678852,0.9562361445956326,0.0216
mcmc,mahalanobis,2.0,0.2,,4000,0.17058022061642952,0.16759263202705982,0.03092963819124525,0.11934514456736763,0.22822840385117057,0.23809646580870897,0.09851299915621496,0.09704019483952511,0.02292145656940363,0.05735396908178525,0.14388988464012017,0.4411236373521167,0.28719800249993804,0.28455477170036647,0.05120461931946149,0.1938608636801745,0.39599043612749596,0.2217225056088255,0.004713886038906823,0.010172905750384306,0.02798246969020579,1.0201911524118557,1.2877308571443145,0.9510231163697012,0.005714948172114861,0.010489019269956022,0.02798745709560801,1.0016743221020017,0.024
mcmc,reweighted,2.0,0.2,,4000,0.18831483701667356,0.1907759487003682,0.038936372806522256,0.11115553892435945,0.25025879395785866,0.2997323376148433,0.10045817942196732,0.09809073062344872,0.024570312353803952,0.06263698208160287,0.14946255076575632,0.47285588171806325,0.32514777406511003,0.3357594039557223,0.05418241082442044,0.23502462454871234,0.43423826523733966,0.23461672106116524,0.013020730361337218,0.012118086016136662,0.009967301874966195,1.2842873491959306,1.3803638216387009,1.0063296218097082,0.01366942119129184,0.012117240129610555,0.010566803280260268,1.0697013887421292,0.0364
